Input Parameter,Yield,Rho (FB),P-value (FB),Rho (BR),P-value (BR),Rho (TR),P-value (TR)
Reaction Time (s),Oil,-0.008677953417582672,0.9686530536766258,0.6556051151898084,3.2819806132834324e-06,0.42461769583622017,0.22128143674844739
Reaction Time (s),Char,0.5059888516267198,0.013763255685011204,0.14669469795783657,0.36007575913367507,-0.8876253645985945,0.0006079255649158403
Reaction Time (s),Gas,-0.6356896058692534,0.001114604365707142,-0.13601359852445277,0.3964773673044929,0.6827887419989189,0.02956271788389563
Temperature (C),Oil,-0.23577515582382325,0.07222262269446998,0.08130279293449375,0.6133268446924822,-0.02352849586966928,0.8725109785351132
Temperature (C),Char,-0.8361011622140674,1.7107627110829508e-16,-0.886890197712825,1.1836893895275317e-14,-0.41186109437402824,0.0032786749877503855
Temperature (C),Gas,0.736612839695015,2.933157960508126e-11,0.9179120518318602,3.0371928949728425e-17,0.6696868928330924,1.425861632832154e-07
Particle size (mm),Oil,-0.09843237247732825,0.46633463142101705,0.6936341488209178,0.0003436784066521996,-0.544007406776054,0.0010661971827252363
Particle size (mm),Char,0.11735059025100546,0.38465118558549904,0.6200557271902728,0.002082180666578846,0.37519666174328814,0.031434265591002326
Particle size (mm),Gas,-0.14560601471588805,0.27982218283069354,-0.7855333567237736,1.4810171268867073e-05,0.13496273761624863,0.45395134976286156
Moisture,Oil,0.19856342576463176,0.13165239132877687,-0.013462255638246984,0.9334234344927532,0.2826108282481768,0.06306219350391631
Moisture,Char,0.14191696796270534,0.28363043418459144,-0.44882204382353585,0.003246855170315565,-0.2513050805240129,0.09986528033102832
Moisture,Gas,-0.26384131798301114,0.04346902218908377,0.5947042389382351,4.12572483410737e-05,-0.49361406252567747,0.0006619091402264088
Ash,Oil,0.0949844185204282,0.5117343707930342,-0.013826100385226634,0.9316282508146121,0.054493399971588294,0.7160084037711807
Ash,Char,0.19794998679397535,0.16820503971367642,0.7893955606608521,8.620325770045281e-10,-0.3580538940887481,0.01346863839750141
Ash,Gas,-0.21642631679097823,0.13114204820038353,-0.6718393252979205,1.5144833648552175e-06,0.06870144309722773,0.6463394131390073
C,Oil,-0.039316900336635256,0.7907646812892741,-0.5665062710473124,0.00011287467317139785,0.08424747990426806,0.5649308745358405
C,Char,-0.3148955153080655,0.029261602558011104,-0.507949390496681,0.0006982275341981643,0.3205456903865008,0.024735314478250926
C,Gas,-0.0340580370393742,0.8182411705128266,0.45899014831482626,0.0025405357867745292,-0.1835409929168213,0.2068135289820068
H,Oil,0.07925581225586825,0.5923250415590038,-0.5897923348540098,4.949684340903823e-05,0.23331656819970997,0.10665567126161289
H,Char,-0.2099218532980485,0.15212761087840762,0.4750200066571756,0.001699325194192399,-0.509477788216172,0.00018488452896664833
H,Gas,0.008106148085089632,0.9563922014518638,-0.4957384677597707,0.0009811669356901954,-0.1889513815345266,0.19351057793210633
N,Oil,-0.07611082560181585,0.6362397516381761,0.48678293866741534,0.011673084671888817,-0.15208501786780176,0.31298027601363215
N,Char,-0.022081546207246755,0.8910032021390635,0.7712695037303652,3.987029826773498e-06,-0.1417436007860526,0.3473966812737377
N,Gas,0.11519600415457565,0.47325298473245725,-0.5036825727645483,0.008708064805245145,0.06973298431803382,0.6451591735475114
O,Oil,0.04536944934533367,0.7594517199640015,0.34674404387160485,0.026351429643709134,-0.06337680194461881,0.7175842406664474
O,Char,0.011993925631031202,0.9355144747790636,-0.5083132510915926,0.0006910502661671108,-0.1261141518516798,0.47035902803238006
O,Gas,0.12958578397136342,0.3800302541619961,0.4387967648574558,0.004105849474471851,0.09253980687475391,0.5969948664228318
